location,threshold_hours,reserve_fraction,forecast_error_std,coldstart_count,lost_production_hours,methane_output_kwh,bess_deep_discharge,curtailed_kwh,reactor_warm_fraction_pct,reserve_active_hours
scotland,48,0.3,0.1,135,2293,222594.5003981397,202,80.67094162231442,34.14383561643836,4448
scotland,48,0.4,0.1,102,1855,229828.16597283893,135,101.30833647747487,35.89041095890411,4530
scotland,72,0.1,0.1,223,3540,192316.01228244402,298,145.81898962717113,28.538812785388128,4417
scotland,72,0.15,0.1,208,3270,194579.74313380467,289,152.02801883930954,29.45205479452055,4559
scotland,72,0.2,0.1,199,3032,197449.0238916506,274,142.98010377072723,30.19406392694064,4707
scotland,72,0.25,0.1,164,2576,214129.31117454305,242,156.7501336943538,32.55707762557078,4466
scotland,72,0.3,0.1,136,2295,222798.45315218784,201,103.06490692040366,34.12100456621005,4450
scotland,72,0.4,0.1,102,1855,229828.16597283893,135,101.30833647747487,35.89041095890411,4530
scotland,12,0.1,0.2,219,3670,197623.22500206289,272,161.39105005712224,28.869863013698634,3721
scotland,12,0.15,0.2,212,3457,197366.15125613837,281,155.9917794790824,29.337899543379,4102
